Freq (Hz)	pe/uhp_Real	pe/uhp_Imag
102.0000000000000000	-0.1924218308391263	-0.1765217727144657
103.0000000000000000	-0.1894222524413428	-0.1671860560502147
104.0000000000000000	-0.1871324709395084	-0.1587036816407429
105.0000000000000000	-0.1870916361457723	-0.1493666919508093
106.0000000000000000	-0.1914817486911390	-0.1469954695946416
107.0000000000000000	-0.1964016633315484	-0.1463307019123811
108.0000000000000000	-0.2110241622057649	-0.1426052358675534
109.0000000000000000	-0.2149364505852984	-0.1459654636805894
110.0000000000000000	-0.2140294707532515	-0.1401335771799285
111.0000000000000000	-0.2264425826972996	-0.1224490267975341
112.0000000000000000	-0.2301415148268266	-0.1102413007836566
113.0000000000000000	-0.2122445409058820	-0.1053987120074603
114.0000000000000000	-0.2086552762263201	-0.1053983236704106
115.0000000000000000	-0.1988175090134711	-0.1103276958707621
