Freq (Hz)	Gxymic/ref_Real	Gxymic/ref_Imag
457.0000000000000000	-0.0023158288418670	-0.0000474609912278
458.0000000000000000	-0.0030264282548408	0.0002599989564607
459.0000000000000000	-0.0038890691341016	0.0004788739315564
460.0000000000000000	-0.0035255466186473	0.0005188782989723
461.0000000000000000	-0.0036455403641769	0.0005702622228925
462.0000000000000000	-0.0019548072325298	0.0003497705452318
463.0000000000000000	-0.0026682675021962	0.0004054678010007
464.0000000000000000	-0.0032083831122564	0.0005257434855535
465.0000000000000000	-0.0018941611511362	0.0004439408059408
466.0000000000000000	-0.0015689019681230	0.0002991353526171
467.0000000000000000	-0.0033574741169334	0.0006181485107387
468.0000000000000000	-0.0021740721045707	0.0003535349338207
469.0000000000000000	-0.0014134279908137	0.0002711196752181
470.0000000000000000	-0.0021865134846350	0.0004507039992636
471.0000000000000000	-0.0025809870544894	0.0003876276374782
472.0000000000000000	-0.0025315184655588	0.0003857877471480
473.0000000000000000	-0.0030411976816463	0.0005946218494199
474.0000000000000000	-0.0036544116610267	0.0007370343625033
475.0000000000000000	-0.0025949130836197	0.0005043100066571
476.0000000000000000	-0.0021521511906591	0.0006093696686236
477.0000000000000000	-0.0026089786155384	0.0007630488159477
478.0000000000000000	-0.0017697552779246	0.0004755991009156
479.0000000000000000	-0.0016356908492283	0.0003187148513911
480.0000000000000000	-0.0022426012306654	0.0005589351099887
481.0000000000000000	-0.0017822485148165	0.0004615667008608
482.0000000000000000	-0.0018917053044570	0.0005267950821221
483.0000000000000000	-0.0024640221101309	0.0008504975522305
484.0000000000000000	-0.0022295578060050	0.0010558661357381
485.0000000000000000	-0.0020232038481200	0.0011395890526015
486.0000000000000000	-0.0015952696015814	0.0009693933502803
487.0000000000000000	-0.0023576552153541	0.0018321664167454
488.0000000000000000	-0.0015904792815647	0.0012942121949681
489.0000000000000000	-0.0015649874126124	0.0015998287252013
490.0000000000000000	-0.0022744174906946	0.0019230803769296
491.0000000000000000	-0.0014018196275120	0.0009952020826584
