Freq (Hz)	mic/ref_Real	mic/ref_Imag
527.0000000000000000	-21.6150810021356214	133.3970516000115370
528.0000000000000000	-31.6777653799330601	124.0857106674280740
528.9999999999999990	-44.2047527320579831	116.2003091350413510
529.9999999999999990	-40.5959851331046195	113.5571084622921490
530.9999999999999990	-44.0399538732617017	114.7331789603499600
531.9999999999999990	-58.6915808554645366	97.3227606447729840
532.9999999999999990	-50.6500352831882523	84.2253497470190524
533.9999999999999990	-69.1207325732378024	78.8447521226631806
534.9999999999999990	-89.3576353788270409	79.1720002853019479
535.9999999999999990	-90.1603420507120318	83.5132346296966971
536.9999999999999990	-89.1302954570297174	83.4312684246625906
537.9999999999999990	-98.0660912296648774	95.1720734507513981
538.9999999999999990	-114.3048579208554830	103.7847448507669980
539.9999999999999990	-133.0645048474903830	113.4795463916744040
540.9999999999999990	-116.0079680945931950	104.4569007964592370
541.9999999999999990	-115.5343381162030880	90.8867443256608708
542.9999999999999990	-128.2755547410300490	103.4426612300164260
543.9999999999999990	-125.9768345123170970	96.9756715449321120
544.9999999999999990	-135.8092619791956960	115.9449290032338520
545.9999999999999990	-130.7128681284183640	135.8375553037089100
546.9999999999999990	-123.2106731096552180	133.8483619346284850
547.9999999999999990	-120.9609711142551020	139.1421217139311750
548.9999999999999990	-121.0189670702000770	142.8544741632028090
549.9999999999999990	-136.3454494309986840	145.7053633486700050
550.9999999999999990	-135.7307255414770560	140.2875031759992910
551.9999999999999990	-138.3506745867964010	139.0267518326037930
552.9999999999999990	-147.3516017052727990	147.6516125806733720
553.9999999999999990	-146.3923472538347420	154.7934812080530380
554.9999999999999990	-153.4498850986784930	152.6652413350171290
555.9999999999999990	-157.3018292173822770	171.7887425350577360
556.9999999999999990	-156.3119327190285330	192.6419464626000600
557.9999999999999990	-143.8777454430368150	218.5637458320945250
558.9999999999999990	-129.6984161418208140	232.0422653753297480
559.9999999999999990	-125.0948841496184940	223.9356813688941650
560.9999999999999990	-119.5926444325858850	220.5434369347968870
561.9999999999999990	-120.1564786324474600	225.9929325148704320
562.9999999999999990	-106.1422190378632710	235.6330902888400090
563.9999999999999990	-103.6295941975556900	231.9356526605807860
564.9999999999999990	-100.4059366798096280	240.5306911993523610
565.9999999999999990	-87.6916747787961270	249.4178384330853930
566.9999999999999990	-82.0983725907068304	255.0100534866960230
567.9999999999999990	-78.2366394297306158	260.9154192361420990
568.9999999999999990	-65.0366071994634324	255.7309494774869730
569.9999999999999990	-47.4174596659216618	259.7359577548750730
570.9999999999999990	-37.1094180566829834	255.6684870532932050
571.9999999999999990	-27.1059701383309068	244.4515424624739810
572.9999999999999990	-15.7165841374655013	233.3415916307954200
573.9999999999999990	-15.7907045503172725	220.0588077229231770
574.9999999999999990	-23.1367131964584303	208.5524284745379190
575.9999999999999990	-25.0001173614638432	208.3308103184926380
576.9999999999999990	-59.9794859202982877	200.1595931685613430
577.9999999999999990	-57.3558455345632722	205.0467528755589790
