Signaux reflechis et transmis pour une structure 
Signal echographique : ser2_25.tam
Milieu incident : eau
Milieu de refraction : eau
Nombre de periodes   1
Couche   1	 : nickel	Epaisseur (mm) : 5.00000000e+00
Epaisseur totale h d'une periode (mm) : 5.00000000e+00
Epaisseur totale H de la plaque (mm) : 5.00000000e+00
Pas frequentiel (MHz) : 9.76562500e-03
Pas temporel (µs) : 5.00000000e-02
Angle d'incidence (degre) : 0.00000000e+00
 



no	temps (µs)	SR	ST
124	6.15000000e+00	-2.31973277e-03	-4.46025501e-05
125	6.20000000e+00	-3.37534457e-04	-5.30319599e-04
126	6.25000000e+00	1.15908565e-03	-2.38124005e-03
127	6.30000000e+00	1.68293108e-03	-4.84494708e-03
128	6.35000000e+00	1.38081949e-03	-5.20829454e-03
129	6.40000000e+00	6.60969718e-04	-1.49933841e-03
130	6.45000000e+00	-6.48353775e-05	5.17557268e-03
131	6.50000000e+00	-4.95679737e-04	1.07461133e-02
132	6.55000000e+00	-5.45797867e-04	1.12086885e-02
133	6.60000000e+00	-3.24614987e-04	6.11188576e-03
134	6.65000000e+00	-3.57794908e-05	-1.30399069e-03
135	6.70000000e+00	1.70829770e-04	-6.88839826e-03
136	6.75000000e+00	2.46851486e-04	-8.34702668e-03
137	6.80000000e+00	2.12290462e-04	-6.07832112e-03
138	6.85000000e+00	1.26859008e-04	-2.04049531e-03
139	6.90000000e+00	2.60380914e-05	1.63474324e-03
140	6.95000000e+00	-1.06692625e-05	3.49621612e-03
141	7.00000000e+00	2.52182452e-05	3.26867438e-03
142	7.05000000e+00	9.60011012e-05	1.67595817e-03
143	7.10000000e+00	8.23137343e-04	-1.53852762e-04
144	7.15000000e+00	2.84625377e-03	-1.32229183e-03
145	7.20000000e+00	4.87966001e-03	-1.57462328e-03
146	7.25000000e+00	4.26959735e-03	-1.13809321e-03
147	7.30000000e+00	-1.83262748e-04	-4.14575909e-04
148	7.35000000e+00	-6.56566332e-03	2.07720769e-04
149	7.40000000e+00	-1.07415701e-02	5.17241996e-04
150	7.45000000e+00	-9.60940234e-03	4.76965164e-04
151	7.50000000e+00	-3.83189794e-03	2.25476373e-04
152	7.55000000e+00	3.00375045e-03	-2.87840168e-05
153	7.60000000e+00	7.28807574e-03	-1.94785907e-04
154	7.65000000e+00	7.55711853e-03	-2.34975729e-04
155	7.70000000e+00	4.74127324e-03	-1.78858894e-04
156	7.75000000e+00	8.51443106e-04	-9.81999867e-05
157	7.80000000e+00	-2.23390328e-03	-8.40325009e-06
158	7.85000000e+00	-3.41885393e-03	1.02704943e-06
159	7.90000000e+00	-2.74777543e-03	-4.19641647e-05
160	7.95000000e+00	-1.08106062e-03	-1.80712535e-04
161	8.00000000e+00	5.36917171e-04	-1.16081796e-03
162	8.05000000e+00	1.39801159e-03	-3.23871740e-03
163	8.10000000e+00	1.41785850e-03	-4.68439495e-03
164	8.15000000e+00	8.94855555e-04	-3.14859414e-03
165	8.20000000e+00	2.05936694e-04	1.78527346e-03
166	8.25000000e+00	-3.12548988e-04	7.58477277e-03
167	8.30000000e+00	-5.05918695e-04	1.02844376e-02
168	8.35000000e+00	-3.97456650e-04	7.81500690e-03
169	8.40000000e+00	-1.40212425e-04	1.73770784e-03
170	8.45000000e+00	8.38151482e-05	-4.29905278e-03
171	8.50000000e+00	2.05312857e-04	-7.30327659e-03
172	8.55000000e+00	2.14598169e-04	-6.59291377e-03
173	8.60000000e+00	1.50686649e-04	-3.46207910e-03
174	8.65000000e+00	6.85729163e-05	1.48013296e-04
175	8.70000000e+00	4.05624068e-07	2.60919800e-03
176	8.75000000e+00	1.51435521e-05	3.19463729e-03
177	8.80000000e+00	5.70617644e-05	2.20573500e-03
178	8.85000000e+00	3.11435063e-04	5.50561761e-04
179	8.90000000e+00	1.52323826e-03	-8.14799303e-04
180	8.95000000e+00	3.51086446e-03	-1.39384309e-03
181	9.00000000e+00	4.27565649e-03	-1.23772708e-03
182	9.05000000e+00	1.90810002e-03	-6.59469025e-04
183	9.10000000e+00	-3.23366171e-03	-3.26152644e-05
184	9.15000000e+00	-8.20060921e-03	3.77498504e-04
185	9.20000000e+00	-9.44979083e-03	4.75110987e-04
186	9.25000000e+00	-5.93376660e-03	3.10404055e-04
187	9.30000000e+00	1.04998739e-04	6.69915826e-05
188	9.35000000e+00	5.18590471e-03	-1.20301008e-04
189	9.40000000e+00	7.00709483e-03	-2.09442636e-04
190	9.45000000e+00	5.53106005e-03	-1.88391297e-04
191	9.50000000e+00	2.28122625e-03	-1.23608191e-04
192	9.55000000e+00	-9.40378419e-04	-4.60095026e-05
193	9.60000000e+00	-2.79130161e-03	4.31213717e-06
194	9.65000000e+00	-2.86406165e-03	-3.35758739e-05
195	9.70000000e+00	-1.66583969e-03	-8.27849709e-05
196	9.75000000e+00	-1.04218427e-04	-4.83756240e-04
197	9.80000000e+00	1.00063574e-03	-1.88581178e-03
198	9.85000000e+00	1.32886351e-03	-3.63420618e-03
199	9.90000000e+00	1.03940765e-03	-3.66698069e-03
200	9.95000000e+00	4.48236216e-04	-6.23137489e-04
201	1.00000000e+01	-1.06029761e-04	4.46467684e-03
202	1.00500000e+01	-4.09708165e-04	8.41613920e-03
203	1.01000000e+01	-4.24211896e-04	8.31585824e-03
204	1.01500000e+01	-2.29532892e-04	4.07553450e-03
205	1.02000000e+01	-3.70987437e-06	-1.65056777e-03
206	1.02500000e+01	1.46093573e-04	-5.69500597e-03
207	1.03000000e+01	2.01318963e-04	-6.46307006e-03
208	1.03500000e+01	1.63937542e-04	-4.44111379e-03
209	1.04000000e+01	9.70656919e-05	-1.22985172e-03
210	1.04500000e+01	2.76536407e-05	1.53140336e-03
211	1.05000000e+01	2.27920870e-06	2.80289938e-03
212	1.05500000e+01	4.68680067e-05	2.46959342e-03
213	1.06000000e+01	1.26356625e-04	1.15378994e-03
214	1.06500000e+01	7.00039069e-04	-2.56545196e-04
215	1.07000000e+01	2.20922889e-03	-1.09901694e-03
216	1.07500000e+01	3.59672899e-03	-1.22322183e-03
217	1.08000000e+01	2.89494005e-03	-8.35105011e-04
218	1.08500000e+01	-6.44481343e-04	-2.60768343e-04
219	1.09000000e+01	-5.42158766e-03	2.05726042e-04
220	1.09500000e+01	-8.25858944e-03	4.17837937e-04
221	1.10000000e+01	-6.97490525e-03	3.60520205e-04
222	1.10500000e+01	-2.31944338e-03	1.53465356e-04
223	1.11000000e+01	2.86593871e-03	-4.24211829e-05
224	1.11500000e+01	5.86965744e-03	-1.64222823e-04
225	1.12000000e+01	5.74613470e-03	-1.86180764e-04
226	1.12500000e+01	3.37149767e-03	-1.37674134e-04
227	1.13000000e+01	3.35349506e-04	-7.60256103e-05
228	1.13500000e+01	-1.93444047e-03	-1.16153877e-05
229	1.14000000e+01	-2.68057104e-03	-1.44739868e-05
230	1.14500000e+01	-2.03522133e-03	-6.20607269e-05
231	1.15000000e+01	-6.93104465e-04	-1.90752831e-04
232	1.15500000e+01	5.31386812e-04	-9.48898002e-04
233	1.16000000e+01	1.12792865e-03	-2.46506639e-03
234	1.16500000e+01	1.08440477e-03	-3.38812820e-03
235	1.17000000e+01	6.39942619e-04	-2.00838888e-03
236	1.17500000e+01	1.01868402e-04	1.82998981e-03
237	1.18000000e+01	-2.74872353e-04	6.07849263e-03
238	1.18500000e+01	-4.00551045e-04	7.76717154e-03
239	1.19000000e+01	-2.93494871e-04	5.52259620e-03
240	1.19500000e+01	-8.59992666e-05	7.34865147e-04
241	1.20000000e+01	7.92822777e-05	-3.75176602e-03
242	1.20500000e+01	1.69628317e-04	-5.75546401e-03
243	1.21000000e+01	1.68433709e-04	-4.92359669e-03
244	1.21500000e+01	1.13345642e-04	-2.36622976e-03
245	1.22000000e+01	5.55079658e-05	3.96099541e-04
246	1.22500000e+01	5.57703835e-06	2.16200673e-03
247	1.23000000e+01	2.74068570e-05	2.45983624e-03
248	1.23500000e+01	7.76887278e-05	1.59231846e-03
249	1.24000000e+01	2.88510142e-04	2.91446558e-04
250	1.24500000e+01	1.20839084e-03	-7.20590596e-04
251	1.25000000e+01	2.62768187e-03	-1.10247769e-03
252	1.25500000e+01	3.02091490e-03	-9.27031016e-04
253	1.26000000e+01	1.05090911e-03	-4.55576641e-04
254	1.26500000e+01	-2.87126147e-03	2.28198820e-05
255	1.27000000e+01	-6.42359731e-03	3.17381590e-04
256	1.27500000e+01	-7.00596787e-03	3.66999223e-04
257	1.28000000e+01	-4.03886784e-03	2.23418494e-04
258	1.28500000e+01	6.25018540e-04	3.26083637e-05
259	1.29000000e+01	4.32070062e-03	-1.07524492e-04
260	1.29500000e+01	5.41558314e-03	-1.67918719e-04
261	1.30000000e+01	4.04795973e-03	-1.45115778e-04
262	1.30500000e+01	1.45992395e-03	-9.39142705e-05
263	1.31000000e+01	-9.61334497e-04	-3.64522010e-05
264	1.31500000e+01	-2.24253439e-03	-4.94357565e-06
265	1.32000000e+01	-2.16518670e-03	-4.38712247e-05
266	1.32500000e+01	-1.16538868e-03	-9.63095210e-05
267	1.33000000e+01	4.05359404e-05	-4.18541852e-04
268	1.33500000e+01	8.37676233e-04	-1.46020614e-03
269	1.34000000e+01	1.03166952e-03	-2.67335097e-03
270	1.34500000e+01	7.63936782e-04	-2.51736216e-03
271	1.35000000e+01	2.91329432e-04	-7.73337374e-05
272	1.35500000e+01	-1.20325680e-04	3.72814360e-03
273	1.36000000e+01	-3.32882609e-04	6.46178330e-03
274	1.36500000e+01	-3.22006991e-04	6.04456964e-03
275	1.37000000e+01	-1.57813582e-04	2.60249234e-03
276	1.37500000e+01	1.24801557e-05	-1.73468635e-03
277	1.38000000e+01	1.24121843e-04	-4.59632864e-03
278	1.38500000e+01	1.60173209e-04	-4.90822601e-03
279	1.39000000e+01	1.23164581e-04	-3.17169970e-03
280	1.39500000e+01	7.42792050e-05	-6.69377479e-04
281	1.40000000e+01	2.31611328e-05	1.36365720e-03
282	1.40500000e+01	9.92200713e-06	2.20190601e-03
283	1.41000000e+01	5.71699829e-05	1.82922999e-03
284	1.41500000e+01	1.29703707e-04	7.67694718e-04
285	1.42000000e+01	5.75384629e-04	-2.98173385e-04
286	1.42500000e+01	1.67854114e-03	-8.91697507e-04
287	1.43000000e+01	2.59713081e-03	-9.31455271e-04
288	1.43500000e+01	1.90165294e-03	-5.99118755e-04
289	1.44000000e+01	-8.58527864e-04	-1.52946600e-04
290	1.44500000e+01	-4.36487871e-03	1.90561075e-04
291	1.45000000e+01	-6.22456894e-03	3.30341878e-04
292	1.45500000e+01	-4.95143132e-03	2.67135992e-04
293	1.46000000e+01	-1.27676971e-03	1.01060515e-04
294	1.46500000e+01	2.57934990e-03	-4.77946322e-05
295	1.47000000e+01	4.62281607e-03	-1.34570193e-04
296	1.47500000e+01	4.28519327e-03	-1.44091141e-04
297	1.48000000e+01	2.33399320e-03	-1.04050496e-04
298	1.48500000e+01	1.10601140e-05	-5.70664229e-05
299	1.49000000e+01	-1.62048011e-03	-1.22048498e-05
300	1.49500000e+01	-2.06327355e-03	-2.18592868e-05
301	1.50000000e+01	-1.47583256e-03	-6.72163235e-05
302	1.50500000e+01	-4.16753155e-04	-1.79831541e-04
303	1.51000000e+01	4.88524787e-04	-7.53835079e-04
304	1.51500000e+01	8.91995954e-04	-1.83826436e-03
305	1.52000000e+01	8.11954453e-04	-2.39878248e-03
306	1.52500000e+01	4.44429689e-04	-1.21283917e-03
307	1.53000000e+01	3.69854557e-05	1.71421330e-03
308	1.53500000e+01	-2.34484807e-04	4.76253935e-03
309	1.54000000e+01	-3.11154364e-04	5.75067868e-03
310	1.54500000e+01	-2.11209536e-04	3.80103363e-03
311	1.55000000e+01	-5.06048327e-05	1.05704838e-04
312	1.55500000e+01	7.27995758e-05	-3.16071725e-03
313	1.56000000e+01	1.37282556e-04	-4.44295014e-03
314	1.56500000e+01	1.27239457e-04	-3.60136104e-03
315	1.57000000e+01	8.49165713e-05	-1.56116130e-03
316	1.57500000e+01	4.25456856e-05	5.10302679e-04
317	1.58000000e+01	7.35001223e-06	1.74718900e-03
318	1.58500000e+01	3.38396859e-05	1.85689859e-03
319	1.59000000e+01	7.99225163e-05	1.12239675e-03
320	1.59500000e+01	2.50971163e-04	1.21266478e-04
321	1.60000000e+01	9.36148864e-04	-6.13887413e-04
322	1.60500000e+01	1.92574078e-03	-8.53851209e-04
323	1.61000000e+01	2.08557929e-03	-6.79846021e-04
324	1.61500000e+01	4.89567583e-04	-3.05078047e-04
325	1.62000000e+01	-2.44520932e-03	5.34419956e-05
326	1.62500000e+01	-4.92413214e-03	2.59674320e-04
327	1.63000000e+01	-5.08837045e-03	2.77665199e-04
328	1.63500000e+01	-2.65617830e-03	1.57351022e-04
329	1.64000000e+01	8.75020165e-04	1.02189529e-05
330	1.64500000e+01	3.50034829e-03	-9.22677299e-05
331	1.65000000e+01	4.10233369e-03	-1.31190399e-04
332	1.65500000e+01	2.89786686e-03	-1.09691353e-04
333	1.66000000e+01	8.79200319e-04	-6.95676336e-05
334	1.66500000e+01	-9.00611284e-04	-2.78000832e-05
335	1.67000000e+01	-1.76315704e-03	-9.57815421e-06
336	1.67500000e+01	-1.60451673e-03	-4.51700540e-05
337	1.68000000e+01	-7.90147017e-04	-9.49337424e-05
338	1.68500000e+01	1.18657823e-04	-3.46825605e-04
339	1.69000000e+01	6.82390258e-04	-1.10502544e-03
340	1.69500000e+01	7.84987293e-04	-1.92641656e-03
341	1.70000000e+01	5.47514757e-04	-1.67892157e-03
342	1.70500000e+01	1.81825322e-04	2.31331898e-04
343	1.71000000e+01	-1.19912239e-04	3.02088864e-03
344	1.71500000e+01	-2.65531088e-04	4.85980608e-03
345	1.72000000e+01	-2.38103502e-04	4.29693061e-03
346	1.72500000e+01	-1.06340293e-04	1.57009716e-03
347	1.73000000e+01	2.14261038e-05	-1.64871955e-03
348	1.73500000e+01	1.03459520e-04	-3.62225403e-03
349	1.74000000e+01	1.22255798e-04	-3.65127153e-03
350	1.74500000e+01	9.14348900e-05	-2.20850736e-03
351	1.75000000e+01	5.58127680e-05	-2.99872194e-04
352	1.75500000e+01	1.74720821e-05	1.16524174e-03
353	1.76000000e+01	1.46358331e-05	1.69339697e-03
354	1.76500000e+01	5.62129585e-05	1.32616080e-03
355	1.77000000e+01	1.18955854e-04	4.90351932e-04
356	1.77500000e+01	4.59365533e-04	-2.99224455e-04
357	1.78000000e+01	1.24655416e-03	-7.06164824e-04
358	1.78500000e+01	1.83557614e-03	-6.94406847e-04
359	1.79000000e+01	1.20056060e-03	-4.19624386e-04
360	1.79500000e+01	-9.07791526e-04	-7.98586028e-05
361	1.80000000e+01	-3.42487462e-03	1.67705886e-04
362	1.80500000e+01	-4.59496091e-03	2.55202369e-04
363	1.81000000e+01	-3.42922376e-03	1.94013210e-04
364	1.81500000e+01	-5.90513138e-04	6.36032223e-05
365	1.82000000e+01	2.21476084e-03	-4.73198203e-05
366	1.82500000e+01	3.56083133e-03	-1.07018984e-04
367	1.83000000e+01	3.12955528e-03	-1.09281892e-04
368	1.83500000e+01	1.56543463e-03	-7.68768224e-05
369	1.84000000e+01	-1.72274360e-04	-4.14534847e-05
370	1.84500000e+01	-1.31812120e-03	-1.14475583e-05
371	1.85000000e+01	-1.55608910e-03	-2.34891569e-05
372	1.85500000e+01	-1.04394256e-03	-6.36851651e-05
373	1.86000000e+01	-2.29747626e-04	-1.57622745e-04
374	1.86500000e+01	4.25836145e-04	-5.82203362e-04
375	1.87000000e+01	6.90860268e-04	-1.34176914e-03
376	1.87500000e+01	5.93778406e-04	-1.65877548e-03
377	1.88000000e+01	3.00569791e-04	-6.77437554e-04
378	1.88500000e+01	-2.21460821e-06	1.50767018e-03
379	1.89000000e+01	-1.95262632e-04	3.64637741e-03
380	1.89500000e+01	-2.35154765e-04	4.16749535e-03
381	1.90000000e+01	-1.48766301e-04	2.53820384e-03
382	1.90500000e+01	-2.72061115e-05	-2.52831778e-04
383	1.91000000e+01	6.47999741e-05	-2.57855103e-03
384	1.91500000e+01	1.06571230e-04	-3.35578983e-03
385	1.92000000e+01	9.42581393e-05	-2.57493031e-03
386	1.92500000e+01	6.32530463e-05	-9.86495662e-04
387	1.93000000e+01	3.03439547e-05	5.34124233e-04
388	1.93500000e+01	8.36390628e-06	1.37694586e-03
389	1.94000000e+01	3.36610963e-05	1.37205687e-03
390	1.94500000e+01	7.24784296e-05	7.70635858e-04
391	1.95000000e+01	2.09468146e-04	1.64570326e-05
392	1.95500000e+01	7.06416496e-04	-5.05690357e-04
393	1.96000000e+01	1.38049170e-03	-6.46571446e-04
394	1.96500000e+01	1.40245709e-03	-4.87545914e-04
