Signaux reflechis et transmis pour une structure 
Signal echographique : ser2_25.tam
Milieu incident : eau
Milieu de refraction : eau
Nombre de periodes   1
Couche   1	 : nickel	Epaisseur (mm) : 1.00000000e+01
Epaisseur totale h d'une periode (mm) : 1.00000000e+01
Epaisseur totale H de la plaque (mm) : 1.00000000e+01
Pas frequentiel (MHz) : 9.76562500e-03
Pas temporel (µs) : 5.00000000e-02
Angle d'incidence (degre) : 1.00000000e+01
 



no	temps (µs)	SR	ST
122	6.05000000e+00	-1.09723441e-03	2.60409558e-03
123	6.10000000e+00	-6.21424416e-04	1.07579517e-02
124	6.15000000e+00	2.73991705e-04	1.45345001e-02
125	6.20000000e+00	8.77366002e-04	1.10493312e-02
126	6.25000000e+00	7.98992758e-04	2.45763284e-03
127	6.30000000e+00	1.08455158e-04	-6.13813874e-03
128	6.35000000e+00	-8.33499611e-04	-1.04738875e-02
129	6.40000000e+00	-1.57535885e-03	-9.37898031e-03
130	6.45000000e+00	-1.62076938e-03	-4.60409812e-03
131	6.50000000e+00	-6.54142887e-04	8.13387712e-04
132	6.55000000e+00	9.62675377e-04	4.20835974e-03
133	6.60000000e+00	2.31329521e-03	4.47709599e-03
134	6.65000000e+00	2.56437295e-03	2.37071881e-03
135	6.70000000e+00	1.52583464e-03	-3.50128629e-04
136	6.75000000e+00	-9.86503190e-05	-2.08617990e-03
137	6.80000000e+00	-1.30073465e-03	-2.19580555e-03
138	6.85000000e+00	-1.55010556e-03	-1.12134197e-03
139	6.90000000e+00	-9.74107825e-04	2.13503445e-04
140	6.95000000e+00	-1.61189072e-04	1.06098121e-03
141	7.00000000e+00	4.66911161e-04	1.10040262e-03
142	7.05000000e+00	8.33598463e-04	5.03940281e-04
143	7.10000000e+00	8.43523769e-04	-2.03567005e-04
144	7.15000000e+00	9.94204651e-04	-5.48916868e-04
145	7.20000000e+00	2.29027523e-03	-3.96506882e-04
146	7.25000000e+00	4.25989418e-03	6.41334471e-05
147	7.30000000e+00	4.53470353e-03	4.62277345e-04
148	7.35000000e+00	1.15293131e-03	5.16322100e-04
149	7.40000000e+00	-5.08939431e-03	2.47900978e-04
150	7.45000000e+00	-1.04416084e-02	-1.41137683e-04
151	7.50000000e+00	-1.10134346e-02	-4.31577686e-04
152	7.55000000e+00	-6.21431741e-03	-4.86530888e-04
153	7.60000000e+00	9.33521901e-04	-3.80155280e-04
154	7.65000000e+00	6.45304266e-03	-1.09032022e-04
155	7.70000000e+00	8.13638666e-03	5.99424393e-04
