Freq (Hz)	mic/ref_Real	mic/ref_Imag
515.0000000000000000	52.3636306272346132	-199.4402022924810460
516.0000000000000000	27.1790380379738181	-203.2218525823621180
517.0000000000000000	21.0202376629437282	-193.9408967921638120
518.0000000000000000	11.6098097717085622	-189.9955393660794700
519.0000000000000000	-3.4992846521409691	-182.6314743110129370
520.0000000000000000	-14.3961457682720120	-181.0051619647816490
521.0000000000000000	-32.0511021620270284	-171.5944731781402760
522.0000000000000000	-45.4223881630564179	-160.1565375042411570
523.0000000000000000	-48.4906806666265737	-137.5947605050997710
524.0000000000000000	-49.2748774923985379	-124.6054734630407950
525.0000000000000000	-48.6941555124333263	-108.0857114427045790
526.0000000000000000	-44.9487198885829997	-95.7222537384270850
527.0000000000000000	-43.0191311270809393	-86.5138701188698462
528.0000000000000000	-34.9904861900054840	-71.8608489084322457
528.9999999999999990	-19.3040408352446597	-66.4800022517347599
529.9999999999999990	-11.3511433845988137	-58.2839314529687087
530.9999999999999990	-4.5841688769924236	-56.5157948197520738
531.9999999999999990	2.1691736759668121	-54.8709917706298995
532.9999999999999990	16.2388958962760590	-50.8374457698769930
533.9999999999999990	24.0599556495784732	-48.6116048556666626
534.9999999999999990	31.6554434994317937	-49.4342675909339561
535.9999999999999990	36.9641790169208732	-57.4026128889571438
536.9999999999999990	47.7570494993277421	-64.1348059337957607
537.9999999999999990	46.7017000553825170	-66.1202098700384510
538.9999999999999990	49.8997264314230264	-72.2328587684825720
539.9999999999999990	54.7899661102888657	-77.2749669851518490
540.9999999999999990	52.1301523111214493	-81.1459313272691105
541.9999999999999990	50.7419159568406144	-88.0851676264885838
542.9999999999999990	44.7005640459917970	-86.3211833624415305
543.9999999999999990	41.6485741550164334	-88.6845737592600755
544.9999999999999990	41.0648221246978195	-86.2072619985484322
545.9999999999999990	36.7187818654380748	-75.0537354574177726
546.9999999999999990	39.6919633756987551	-68.1146937023517153
547.9999999999999990	51.7715450017306580	-68.2372512809710940
548.9999999999999990	67.2121446290024096	-71.2796651793838265
549.9999999999999990	77.1835938773605789	-66.5531321430378710
550.9999999999999990	91.0724409629223714	-65.4287583559116825
551.9999999999999990	93.0300810807273279	-82.4845828344034117
552.9999999999999990	86.0611052081308969	-95.3713277120034064
553.9999999999999990	84.0415848499248170	-103.5021645693830980
554.9999999999999990	85.4538460834318129	-107.2693533002885150
555.9999999999999990	78.7297582236707285	-106.7823766372460170
556.9999999999999990	77.7963174859746686	-102.2836649506971870
557.9999999999999990	81.0574803523501685	-97.3754724524276156
558.9999999999999990	83.5345240828183790	-106.1419728685589230
559.9999999999999990	105.3074644736532690	-105.3064796301470520
560.9999999999999990	113.4622879089348540	-96.2663942089552619
561.9999999999999990	128.7433712276299500	-122.2830615102944160
562.9999999999999990	135.6272527813818840	-131.3276964314736120
563.9999999999999990	132.9770863978788500	-152.2575186327919710
564.9999999999999990	117.9223929812692260	-187.1295358032684250
565.9999999999999990	104.1839349145267450	-205.3187154877689410
566.9999999999999990	94.5381844202029384	-210.5017063960250990
567.9999999999999990	77.2938501665573056	-213.2065699684069950
568.9999999999999990	64.1587982849021187	-217.2238173856130170
569.9999999999999990	58.1206071153165666	-222.8206785451335750
570.9999999999999990	51.9299604742666218	-228.0594539407930770
571.9999999999999990	35.9955541811608768	-226.8683424942435350
572.9999999999999990	31.2756389442788496	-211.3641360258828000
573.9999999999999990	26.9572771803319604	-207.6450105608364820
574.9999999999999990	20.1174060292982126	-205.2425030115473990
575.9999999999999990	15.8091820773823297	-211.9349672296617080
576.9999999999999990	12.0923894263808247	-212.6064893593194540
577.9999999999999990	16.0985870651984229	-216.1043409274563770
578.9999999999999990	10.9077347036329328	-197.3482107870266590
579.9999999999999990	6.2482343615555518	-194.8345663364385410
580.9999999999999990	14.9478271200838399	-188.9531410882955810
581.9999999999999990	15.6291289438858332	-189.7982190060399430
582.9999999999999990	18.8392692587230428	-191.1581127591357470
583.9999999999999990	18.5448883430414284	-201.6041314489458780
584.9999999999999990	19.8272014980344266	-211.4625735590850580
585.9999999999999990	17.8510660062826361	-218.1907822225789170
586.9999999999999990	23.2180105332955158	-224.4741709600048410
587.9999999999999990	26.6250480504893616	-238.9923853408228350
588.9999999999999990	15.1601917375220374	-255.5970835564990290
589.9999999999999990	5.1503403267828958	-260.5372499919072310
590.9999999999999990	-19.0122515189798413	-260.9980146852872730
591.9999999999999990	-33.2255821289866162	-264.2654477396628180
592.9999999999999990	-40.9655780316822913	-254.8777861163252110
593.9999999999999990	-50.3403051873770124	-259.5860631462509780
594.9999999999999990	-62.2116747404306949	-268.2470422601297740
595.9999999999999990	-70.9276211771754390	-263.1292038370805810
596.9999999999999990	-84.5613744662982327	-264.4464457913750830
597.9999999999999990	-99.6421913772594507	-269.6809285011830750
598.9999999999999990	-118.1857471415501240	-245.9507745178734120
599.9999999999999990	-130.8990664457158740	-233.3336179726919680
600.9999999999999990	-134.4351690799375370	-222.7184061775076310
601.9999999999999990	-145.7529901081869070	-216.4250749307821020
602.9999999999999990	-148.9133860443559450	-197.5574832332540040
603.9999999999999990	-144.9975964069522260	-180.8260823792018920
604.9999999999999990	-142.7617097725248240	-172.0377927494167520
605.9999999999999990	-133.5680450924653820	-160.2197883287840340
606.9999999999999990	-129.8903204175200580	-148.7782351872576210
607.9999999999999990	-114.8820627387789700	-136.9264918850274170
608.9999999999999990	-84.9742972127353937	-142.9738045203043550
609.9999999999999990	-81.9354972785670412	-146.2283237326677180
610.9999999999999990	-76.4690733220097769	-146.9843841847649910
611.9999999999999990	-72.2125411466698920	-163.3360925122291570
612.9999999999999990	-68.3233285988940650	-179.0208640743939840
613.9999999999999990	-72.7940188977230064	-187.9366819966547550
614.9999999999999990	-84.0596064786045360	-192.3124160858019990
615.9999999999999990	-92.4395493848383864	-200.3204839788630800
616.9999999999999990	-100.2877810561929830	-208.6950759897219990
617.9999999999999990	-108.9285744597978720	-200.4673380727848270
618.9999999999999990	-118.4504752502376450	-196.6537935871233460
619.9999999999999990	-115.9613432458697270	-200.3323089845618480
620.9999999999999990	-113.6097232485461030	-196.3262372720539590
621.9999999999999990	-116.3358977283155580	-201.0866479482388340
622.9999999999999990	-114.4971084021427860	-206.1785698954996350
623.9999999999999990	-111.1319801970354460	-211.7688909801595400
624.9999999999999990	-123.6737667511103350	-221.6515021785430400
625.9999999999999990	-138.0302488528024870	-217.9642235627847240
626.9999999999999990	-146.6609012939093760	-216.0677082154703890
627.9999999999999990	-159.8617269651417130	-221.2724949014324520
628.9999999999999990	-162.3052143587823930	-228.1081935749277820
629.9999999999999990	-170.5478983864883270	-226.4778212825288500
630.9999999999999990	-185.4745316152724680	-227.5755166376014240
