Freq (Hz)	Gxymic1/ref_Real	Gxymic1/ref_Imag	Gxymic2/ref_Real	Gxymic2/ref_Imag
587.9999999999999990	-0.0320180724736541	-0.0159557451377065	-0.0330511913078984	-0.0146852287752743
588.9999999999999990	-0.0347027834915523	-0.0093839309758070	-0.0358143626426305	-0.0076874890269755
589.9999999999999990	-0.0322239617153006	-0.0068287746602140	-0.0331781339566572	-0.0050798238528114
590.9999999999999990	-0.0315799801271655	-0.0059258994375351	-0.0323576824200590	-0.0041589063548301
591.9999999999999990	-0.0326172007669279	-0.0045616936442860	-0.0333922836585847	-0.0031450041255320
592.9999999999999990	-0.0302079947346952	0.0009456086441516	-0.0311539577920739	0.0026659998798389
593.9999999999999990	-0.0261299610298810	-0.0006972710485744	-0.0268190853939210	0.0008234447540001
594.9999999999999990	-0.0236216912646541	-0.0019551331225539	-0.0244492750672630	-0.0004704694639986
595.9999999999999990	-0.0246118953149159	-0.0021746976603131	-0.0254283143719859	-0.0007200035855820
596.9999999999999990	-0.0222967960809387	-0.0038686265501093	-0.0231120627200144	-0.0024268153051965
597.9999999999999990	-0.0231947961336571	-0.0043257768542945	-0.0240845825141044	-0.0029446906889321
598.9999999999999990	-0.0235188336106733	-0.0029793532414629	-0.0245472397963780	-0.0014291579564816
599.9999999999999990	-0.0205441080865888	-0.0031166776773318	-0.0213049287599881	-0.0015519474985413
600.9999999999999990	-0.0209981586833630	-0.0043677794265149	-0.0217991584322211	-0.0028449563599780
601.9999999999999990	-0.0216659208068164	-0.0039092425800980	-0.0226776641812126	-0.0024081411723174
602.9999999999999990	-0.0198302185767883	-0.0031797333802926	-0.0205991416805912	-0.0014046367192526
603.9999999999999990	-0.0200880007118822	-0.0046898510845983	-0.0207436085628679	-0.0030605563017620
604.9999999999999990	-0.0205439614333195	-0.0025297644823845	-0.0212386790391951	-0.0009694309102906
605.9999999999999990	-0.0175078300975906	-0.0033581316545033	-0.0181469233823586	-0.0017505547775092
606.9999999999999990	-0.0175834416459171	-0.0047044901117042	-0.0181005207256398	-0.0031547327755027
607.9999999999999990	-0.0174420296304205	-0.0062315296388450	-0.0180313170231074	-0.0048683349768973
608.9999999999999990	-0.0180741936082887	-0.0059255641809772	-0.0187920048360959	-0.0044680931226875
609.9999999999999990	-0.0168357425726195	-0.0082655846953051	-0.0174278869521707	-0.0067958226636472
610.9999999999999990	-0.0208528539359513	-0.0086458865056477	-0.0216294579367116	-0.0072090442029605
611.9999999999999990	-0.0194504077980365	-0.0074321102998007	-0.0201253253819596	-0.0058708936950268
612.9999999999999990	-0.0199376313820115	-0.0066065614182697	-0.0206203236069815	-0.0049415304036461
